id,product_id,quantity,unit,observation,location,image_path,state,supplier,estimed_value,purchase_id,created_at,updated_at
105,1060,1,LT,"3,5 lt",P 8,,,,100,,2015-12-10T16:29:42.385+00:00,2015-12-10T16:30:41.003+00:00
106,1061,5,KG,,P 4,,,,9,,2015-12-10T16:34:26.341+00:00,2015-12-10T16:34:26.341+00:00
107,1062,1,UN,danfoss,P 20,,,,65,,2015-12-10T16:38:51.392+00:00,2015-12-10T16:38:51.392+00:00
108,1063,3,UN,,P 15,,,,30,,2015-12-10T16:47:12.529+00:00,2015-12-10T16:47:12.529+00:00
109,1064,0,UN,,P 15,,,,15,,2015-12-10T16:49:14.171+00:00,2016-01-14T19:22:20.019+00:00
110,1065,0,UN,vergue,P 16,,,,110,,2015-12-10T16:50:56.327+00:00,2015-12-16T16:29:38.779+00:00
111,1066,3,UN,,P 16,,,,70,,2015-12-10T16:57:55.134+00:00,2015-12-17T13:58:33.339+00:00
112,1068,1,UN,siemens,P 16,,,,70,,2015-12-10T17:00:33.451+00:00,2015-12-10T17:00:33.451+00:00
113,1069,2,UN,modelo: YDK110H/6 ,P 24,,,,30,,2015-12-10T17:11:30.379+00:00,2015-12-10T18:30:43.756+00:00
114,1070,1,UN,,P 23,,,,30,,2015-12-10T17:19:24.975+00:00,2015-12-10T18:31:01.438+00:00
115,1071,1,UN,module dual triac output,P 13,,,,809.740000000000009,,2015-12-10T17:35:57.246+00:00,2015-12-10T17:35:57.246+00:00
116,1072,1,UN,08401040,P 23,,,,23,,2015-12-10T17:45:34.528+00:00,2015-12-10T18:31:17.904+00:00
117,1073,30,UN,grande,P 23,,,,3,,2015-12-10T17:59:06.809+00:00,2015-12-10T18:31:50.260+00:00
118,1075,46,UN,,P 22,,,,8,,2015-12-10T18:35:51.173+00:00,2015-12-10T18:35:51.173+00:00
119,145,5,UN,,P 26,,,,260.019999999999982,497,2015-12-16T12:13:02.439+00:00,2015-12-16T12:14:06.948+00:00
120,34,3,UN,,P 26,,,,510.399999999999977,497,2015-12-16T12:13:02.638+00:00,2016-02-11T11:00:59.774+00:00
121,749,2,un,,,,,,23,465,2015-12-23T16:49:48.347+00:00,2015-12-23T16:49:48.347+00:00
122,748,2,un,,,,,,23,465,2015-12-23T16:49:48.359+00:00,2015-12-23T16:49:48.359+00:00
123,968,2,un,,,,,,23,461,2015-12-23T16:50:28.997+00:00,2015-12-23T16:50:28.997+00:00
124,750,4,un,,,,,,23,461,2015-12-23T16:50:29.005+00:00,2015-12-23T16:50:29.005+00:00
125,734,4,un,,,,,,23,461,2015-12-23T16:50:29.013+00:00,2015-12-23T16:50:29.013+00:00
126,744,4,un,,,,,,27,461,2015-12-23T16:50:29.021+00:00,2015-12-23T16:50:29.021+00:00
127,742,4,un,,,,,,27,461,2015-12-23T16:50:29.031+00:00,2015-12-23T16:50:29.031+00:00
128,743,4,un,,,,,,27,461,2015-12-23T16:50:29.040+00:00,2015-12-23T16:50:29.040+00:00
129,1181,2,UN,gotec,P 9,,,,394,,2016-01-06T10:37:01.746+00:00,2016-01-06T10:38:34.079+00:00
130,1268,1,UN,novo,P 10,,,,21,,2016-01-06T10:39:59.854+00:00,2016-01-06T10:46:32.178+00:00
131,1269,1,UN,nova,P 17,,,,7.5,,2016-01-06T10:40:46.040+00:00,2016-01-06T10:46:06.140+00:00
133,1273,2,un,,,,,,32,593,2016-01-08T10:38:23.143+00:00,2016-01-08T10:38:23.143+00:00
134,1272,1,un,,,,,,23.1000000000000014,593,2016-01-08T10:38:23.155+00:00,2016-01-26T19:38:30.875+00:00
135,1271,2,un,,,,,,23,593,2016-01-08T10:38:23.163+00:00,2016-01-08T10:38:23.163+00:00
136,359,2,un,,,,,,25,593,2016-01-08T10:38:23.171+00:00,2016-01-08T10:38:23.171+00:00
137,1323,1,UN,novo,,,,,170,,2016-01-14T19:54:18.428+00:00,2016-01-14T19:54:18.428+00:00
138,626,0,UN,novo,bancada,,,,580,,2016-01-22T10:49:45.192+00:00,2016-01-22T10:51:43.020+00:00
140,1383,1,un,,,,,,190,666,2016-01-27T13:21:50.951+00:00,2016-01-27T13:21:50.951+00:00
141,1340,1,un,,,,,,999,680,2016-01-28T12:19:27.169+00:00,2016-01-28T12:19:27.169+00:00
