id,title,description,image_path,location,estimated_value,original_value,state,contract_id,created_at,updated_at,unit,devolution_date,number,note_number,responsible,quantity,code,buy_date
33,FURADEIRA ,FURADEIRA IMP. GSB 13 RE COM MALETA BOSCH ,,Usina ,353.899999999999977,0,0,25,2016-08-29T14:44:14.532+00:00,2016-08-29T15:10:48.497+00:00,,,,,,1,028894,2016-08-25
34,SERRA TICO-TICO,SERRA TICO-TICO DEXTER POWER AZUL COM LARANJADO ,,Usina ,251.900000000000006,0,0,25,2016-08-29T14:48:02.935+00:00,2016-08-29T15:09:04.204+00:00,,,,,,1,039512,2016-08-25
35,SERRA MARMORE,SERRA MARMORE 1200W DEXTER POWER AZUL COM LARANJADO ,,Usina ,209.900000000000006,0,0,25,2016-08-29T14:52:19.755+00:00,2016-08-29T15:10:14.095+00:00,,,,,,1,024064,2016-08-25
36,FURADEIRA SKIL,"FURADEIRA SKIL IMP 1/2 6055+12AC
",,Usina ,168.900000000000006,0,0,25,2016-08-29T14:58:05.339+00:00,2016-08-29T15:08:24.894+00:00,,,,,,1,025497,2016-08-25
37,FURADEIRA SKIL,FURADEIRA SKIL IMP 1/2 6055+12AC PRETA COM VERMELHA,,Usina,168.900000000000006,0,0,25,2016-08-29T15:04:00.831+00:00,2016-08-29T15:11:08.897+00:00,,,,,,1,032597,2016-08-25
38,FURADEIRA SKIL,FURADEIRA SKIL IMP 1/2 6055+12AC PRETA COM VERMELHO,,Usina,168.900000000000006,0,0,25,2016-08-29T15:07:58.933+00:00,2016-08-29T15:11:35.061+00:00,,,,,,1,027591,2016-08-25
39,FURADEIRA SKIL,FURADEIRA SKIL IMP 1/2 6055+12AC PRETA COM VERMELHO,,Usina,168.900000000000006,0,0,25,2016-08-29T16:51:36.626+00:00,2016-08-29T16:51:36.626+00:00,,,,,,1,024054,2016-08-25
40,FURADEIRA BOSCH,FURADEIRA IMP. GSB 13 RE COM MALETA BOSCH AZUL COM VERMELHA ,,Usina ,353.899999999999977,0,0,25,2016-08-29T16:55:11.164+00:00,2016-08-29T16:55:11.164+00:00,,,,,,1,029376,2016-08-25
41,FURADEIRA MARTELETE,MARTELETE PERF SDS PLUS 750W 220V DEXTER POWER AZUL COM LARANJA,,Usina ,399.899999999999977,0,0,25,2016-08-29T17:01:12.586+00:00,2016-08-29T17:01:12.586+00:00,,,,,,1,029199,2016-08-25
42,FURADEIRA DE BANCADA,FURADEIRA DE BANCADA FB13 220V SCHULZ,,Usina ,428.899999999999977,0,0,25,2016-08-29T17:48:04.282+00:00,2016-08-29T17:48:04.282+00:00,,,,,,1,027465,2016-06-25
43,ESMERILHADEIRA ,ESMERILHADEIRA DEXTER POWER  AN 4.1/2 750W,,Usina ,200.900000000000006,0,0,25,2016-08-29T17:51:38.678+00:00,2016-08-29T17:51:38.678+00:00,,,,,,1,022324,2016-08-25
44,FURADEIRA SKIL,FURADEIRA SKIL IMP  1/2 6055+12AC 220V PRETA COM VERMELHO,,Usina ,0,0,0,25,2016-08-29T17:52:57.068+00:00,2016-08-29T17:53:44.316+00:00,,,,,,1,022652,2016-08-25
