id,title,description,observation,image_path,created_at,updated_at
733,calça 42,,,,2015-11-17T13:46:21.280+00:00,2015-11-17T13:46:21.280+00:00
734,camisa m,,,,2015-11-17T13:46:21.289+00:00,2015-11-17T13:46:21.289+00:00
735,bota 41,,,,2015-11-17T13:46:21.297+00:00,2015-11-17T13:46:21.297+00:00
736,correa b54,,,,2015-11-17T15:26:14.840+00:00,2015-11-17T15:26:14.840+00:00
737,rodo medio,,,,2015-11-17T15:26:14.857+00:00,2015-11-17T15:26:14.857+00:00
738,lampada led add22-22d/s dc24v 20ma branca,,,,2015-11-17T17:01:37.668+00:00,2015-11-17T17:01:37.668+00:00
739,calça n°38,,,,2015-11-18T11:44:37.929+00:00,2015-11-18T11:44:37.929+00:00
740,calça nº 40 (azul),,,,2015-11-18T11:47:56.532+00:00,2015-11-18T11:47:56.532+00:00
741,calça nº 40,,,,2015-11-18T11:48:52.290+00:00,2015-11-18T11:48:52.290+00:00
742,calça nº 42,,,,2015-11-18T11:49:38.266+00:00,2015-11-18T11:49:38.266+00:00
743,calça nº 44,,,,2015-11-18T11:52:18.868+00:00,2015-11-18T11:52:18.868+00:00
744,calça nº 46,,,,2015-11-18T11:52:56.413+00:00,2015-11-18T11:52:56.413+00:00
745,calça nº 48,,,,2015-11-18T11:53:38.093+00:00,2015-11-18T11:53:38.093+00:00
746,calça nº 50,,,,2015-11-18T11:54:25.708+00:00,2015-11-18T11:54:25.708+00:00
747,calça nº 52,,,,2015-11-18T11:55:21.925+00:00,2015-11-18T11:55:21.925+00:00
748,camisa p,,,,2015-11-18T11:57:45.789+00:00,2015-11-18T11:57:45.789+00:00
749,camisa g,,,,2015-11-18T12:02:18.959+00:00,2015-11-18T12:02:18.959+00:00
750,camisa gg,,,,2015-11-18T12:03:14.748+00:00,2015-11-18T12:03:14.748+00:00
751,camisa exg,,,,2015-11-18T12:03:57.627+00:00,2015-11-18T12:03:57.627+00:00
755,compressor scroll 7.5tr mod. zr81kc-tf7-523 380v copeland,,,,2015-11-18T16:28:45.534+00:00,2015-11-18T16:28:45.534+00:00
756,cilindro para recolher gás,,,,2015-11-18T17:13:32.196+00:00,2015-11-18T17:13:32.196+00:00
757,corretivo líquido,,,,2015-11-19T11:16:18.900+00:00,2015-11-19T11:16:18.900+00:00
758,parafuso s-8,,,,2015-11-19T12:13:07.458+00:00,2015-11-19T12:13:07.458+00:00
759,broca aÇo rapido s-3,,,,2015-11-19T12:13:07.466+00:00,2015-11-19T12:13:07.466+00:00
760,broca aÇo rapido s-4,,,,2015-11-19T12:13:07.472+00:00,2015-11-19T12:13:07.472+00:00
761,manutenção compressor schulz twister csi 7.4 12.5,,,,2015-11-19T12:57:01.852+00:00,2015-11-19T12:57:01.852+00:00
762,produto de limpeza pesada,,,,2015-11-19T13:21:04.903+00:00,2015-11-19T13:21:04.903+00:00
763,bom ar,,,,2015-11-19T13:21:04.926+00:00,2015-11-19T13:21:04.926+00:00
764,sabão em pó 5kg,,,,2015-11-19T13:21:04.948+00:00,2015-11-19T13:21:04.948+00:00
765,vassoura,,,,2015-11-19T13:21:04.961+00:00,2015-11-19T13:21:04.961+00:00
766,limpador de uso geral cozinha,,,,2015-11-19T13:21:04.969+00:00,2015-11-19T13:21:04.969+00:00
767,sabão em barra,,,,2015-11-19T13:21:04.979+00:00,2015-11-19T13:21:04.979+00:00
768,flanela,,,,2015-11-19T13:21:04.985+00:00,2015-11-19T13:21:04.985+00:00
769,copo descartável 200ml,,,,2015-11-19T13:21:04.991+00:00,2015-11-19T13:21:04.991+00:00
770,suporte para filtro café,,,,2015-11-19T13:21:05.002+00:00,2015-11-19T13:21:05.002+00:00
771,filtro papel café,,,,2015-11-19T13:21:05.009+00:00,2015-11-19T13:21:05.009+00:00
772,esponja assolan,,,,2015-11-19T13:21:05.017+00:00,2015-11-19T13:21:05.017+00:00
773,protetor auricular,,,,2015-11-19T13:51:06.217+00:00,2015-11-19T13:51:06.217+00:00
774,mascara segurança,,,,2015-11-19T13:51:06.225+00:00,2015-11-19T13:51:06.225+00:00
775,jugular,,,,2015-11-19T13:51:06.237+00:00,2015-11-19T13:51:06.237+00:00
776,cinturão ,,,,2015-11-19T13:51:06.244+00:00,2015-11-19T13:51:06.244+00:00
777,talabarte ,,,,2015-11-19T13:51:06.254+00:00,2015-11-19T13:51:06.254+00:00
778,luva para eletricista de auto tensão,,,,2015-11-19T13:51:06.262+00:00,2015-11-19T13:51:06.262+00:00
779,luva para eletricista,,,,2015-11-19T13:51:06.269+00:00,2015-11-19T13:51:06.269+00:00
780,óculos segurança,,,,2015-11-19T13:51:06.277+00:00,2015-11-19T13:51:06.277+00:00
781,parafuso auto 6.3x50,,,,2015-11-19T14:00:46.193+00:00,2015-11-19T14:00:46.193+00:00
782,bucha s10,,,,2015-11-19T14:00:46.201+00:00,2015-11-19T14:00:46.201+00:00
783,compressor scroll de 60.000 btus,,,,2015-11-19T16:25:53.239+00:00,2015-11-19T16:25:53.239+00:00
784,flangeador 7/8,,,,2015-11-19T16:26:22.867+00:00,2015-11-19T16:26:22.867+00:00
785,cobre flexível 7/8,,,,2015-11-19T16:27:01.152+00:00,2015-11-19T16:27:01.152+00:00
786,parafuso 4.8x19,,,,2015-11-19T16:48:36.139+00:00,2015-11-19T16:48:36.139+00:00
787,maçarico de solda ,,,,2015-11-19T17:01:02.462+00:00,2015-11-19T17:01:02.462+00:00
788,soldagem fox,,,,2015-11-19T17:01:02.472+00:00,2015-11-19T17:01:02.472+00:00
789,serviço de solda na base da serpentina,,,,2015-11-19T17:08:18.359+00:00,2015-11-19T17:08:18.359+00:00
790,serviço de torno da base do rolamento,,,,2015-11-19T17:11:44.212+00:00,2015-11-19T17:11:44.212+00:00
791,rele sobretensão rpw 380v,,,,2015-11-19T17:18:31.800+00:00,2015-11-19T17:18:31.800+00:00
792,fusivel vidro 3ag,,,,2015-11-19T17:18:31.819+00:00,2015-11-19T17:18:31.819+00:00
793,conserto motor eberle 1/8,,,,2015-11-19T17:34:53.000+00:00,2015-11-19T17:34:53.000+00:00
794,"pistão (accurator) 0,061 – para o modelo de máquina 38ccd036515mc",,,,2015-11-19T17:39:52.970+00:00,2015-11-19T17:39:52.970+00:00
795,limpa contato,,,,2015-11-19T17:42:01.425+00:00,2015-11-19T17:42:01.425+00:00
796,conserto motor weg 1/10,,,,2015-11-19T18:00:36.710+00:00,2015-11-19T18:00:36.710+00:00
797,serviço de torno diversos,,,,2015-11-19T18:12:09.473+00:00,2015-11-19T18:12:09.473+00:00
798,instalação software,,,,2015-11-19T18:19:34.377+00:00,2015-11-19T18:19:34.377+00:00
799,tubo de cobre flex 1/2 x 1/32,,,,2015-11-19T18:42:34.508+00:00,2015-11-19T18:42:34.508+00:00
800,tubo de cobre flex 3/8 x 1/32,,,,2015-11-19T18:42:34.518+00:00,2015-11-19T18:42:34.518+00:00
801,tubo de cobre flex 1/4 x 1/32,,,,2015-11-19T18:42:34.527+00:00,2015-11-19T18:42:34.527+00:00
802,tubo de cobre flex 5/8 x 1/32,,,,2015-11-19T18:42:34.534+00:00,2015-11-19T18:42:34.534+00:00
803,tubo de cobre flex 3/4 x 1/32 ,,,,2015-11-19T18:42:34.541+00:00,2015-11-19T18:42:34.541+00:00
804,bobina para relógio de ponto digital,,,,2015-11-19T18:56:01.229+00:00,2015-11-19T18:56:01.229+00:00
805,"cabo pp 3x2,5",,,,2015-11-19T19:20:29.721+00:00,2015-11-19T19:20:29.721+00:00
806,motor ventilador  k48407 mo1716,,,,2015-11-20T10:40:32.628+00:00,2015-11-20T10:40:32.628+00:00
807,kit palaca eletronica k42ac5lc,,,,2015-11-20T10:40:32.638+00:00,2015-11-20T10:40:32.638+00:00
808,"mangueira emborrachada 1/2"" com conexoes aeroquip-(mangote) as duas pontas com rosca macho",,,,2015-11-20T11:23:05.637+00:00,2015-11-20T11:23:05.637+00:00
809,"bucha de reduÇao galvanizada 3/4"" x 1/2""",,,,2015-11-20T11:23:05.645+00:00,2015-11-20T11:23:05.645+00:00
810,abastecimento saveiro ,,,,2015-11-20T12:59:00.536+00:00,2015-11-20T12:59:00.536+00:00
811,arame galvanizado nº 14,,,,2015-11-20T16:17:23.911+00:00,2015-11-20T16:17:23.911+00:00
812,aplicador silicone metal,,,,2015-11-20T16:17:23.931+00:00,2015-11-20T16:17:23.931+00:00
813,broca sds 10x260,,,,2015-11-20T16:17:23.941+00:00,2015-11-20T16:17:23.941+00:00
814,mangueira de pvc 1/2x1.5mm,,,,2015-11-20T16:17:23.953+00:00,2015-11-20T16:17:23.953+00:00
815,suporte fixação ,,,,2015-11-20T16:26:13.261+00:00,2015-11-20T16:26:13.261+00:00
816,vergalhão 1/4x3,,,,2015-11-20T16:26:13.272+00:00,2015-11-20T16:26:13.272+00:00
817,"serrote ponta 12""",,,,2015-11-20T16:26:13.278+00:00,2015-11-20T16:26:13.278+00:00
818,trena ,,,,2015-11-20T16:26:13.289+00:00,2015-11-20T16:26:13.289+00:00
819,"arco serra 12""",,,,2015-11-20T16:26:13.296+00:00,2015-11-20T16:26:13.296+00:00
820,frete de go para df,,,,2015-11-20T17:17:00.013+00:00,2015-11-20T17:17:00.013+00:00
821,chapa galv lisa #26 ,,,,2015-11-20T18:11:41.174+00:00,2015-11-20T18:11:41.174+00:00
822,isolamento armaflex f-28,,,,2015-11-20T18:23:22.529+00:00,2015-11-20T18:23:22.529+00:00
823,mangueira de pvc 1/4,,,,2015-11-20T18:24:50.110+00:00,2015-11-20T18:24:50.110+00:00
824,abraçadeira 14/3.5,,,,2015-11-20T18:24:50.147+00:00,2015-11-20T18:24:50.147+00:00
825,alicate prensa ,,,,2015-11-23T11:49:57.666+00:00,2015-11-23T11:49:57.666+00:00
826,rebitador prof 3 pontas,,,,2015-11-23T11:49:57.685+00:00,2015-11-23T11:49:57.685+00:00
827,alicate amp digital,,,,2015-11-23T11:49:57.701+00:00,2015-11-23T11:49:57.701+00:00
828,chave de fenda 1/4x8 gedore,,,,2015-11-23T11:49:57.727+00:00,2015-11-23T11:49:57.727+00:00
829,chave 1/8x3 gedore,,,,2015-11-23T11:49:57.745+00:00,2015-11-23T11:49:57.745+00:00
830,chave de fenda 3/16x4 gedore,,,,2015-11-23T11:49:57.770+00:00,2015-11-23T11:49:57.770+00:00
831,chave philips 1/8x3 gegore,,,,2015-11-23T11:49:57.783+00:00,2015-11-23T11:49:57.783+00:00
832,chave philips 3/16x3 gedore,,,,2015-11-23T11:49:57.798+00:00,2015-11-23T11:49:57.798+00:00
833,chave grifo 18,,,,2015-11-23T11:49:57.818+00:00,2015-11-23T11:49:57.818+00:00
834,chave ajustável 8,,,,2015-11-23T11:49:57.831+00:00,2015-11-23T11:49:57.831+00:00
835,chave ajustável 12,,,,2015-11-23T11:49:57.846+00:00,2015-11-23T11:49:57.846+00:00
836,estilete c/ guia,,,,2015-11-23T11:49:57.861+00:00,2015-11-23T11:49:57.861+00:00
837,escada de aluminio 9 degraus,,,,2015-11-23T11:49:57.873+00:00,2015-11-23T11:49:57.873+00:00
838,ferro de solda ,,,,2015-11-23T11:49:57.886+00:00,2015-11-23T11:49:57.886+00:00
839,chave allen longa 2/10 jg,,,,2015-11-23T11:49:57.899+00:00,2015-11-23T11:49:57.899+00:00
840,chave combinada 6/32 jg,,,,2015-11-23T11:49:57.911+00:00,2015-11-23T11:49:57.911+00:00
841,lima chata murca 6,,,,2015-11-23T11:49:57.926+00:00,2015-11-23T11:49:57.926+00:00
842,lima redonda bastada 6,,,,2015-11-23T11:49:57.942+00:00,2015-11-23T11:49:57.942+00:00
843,chave de fenda teste,,,,2015-11-23T11:49:57.958+00:00,2015-11-23T11:49:57.958+00:00
844,bolsa em lona c/ base,,,,2015-11-23T11:49:57.973+00:00,2015-11-23T11:49:57.973+00:00
845,chave philips 3/16x4 gedore,,,,2015-11-23T11:49:57.987+00:00,2015-11-23T11:49:57.987+00:00
846,bolsa em lona standard,,,,2015-11-23T11:54:12.820+00:00,2015-11-23T11:54:12.820+00:00
847,rele temporizador coel 30s a2e,,,,2015-11-23T12:01:15.048+00:00,2015-11-23T12:01:15.048+00:00
848,compressor rotativo 19000 btus,,,,2015-11-23T12:39:40.441+00:00,2015-11-23T12:39:40.441+00:00
849,fluxo p solda ,,,,2015-11-23T12:39:40.465+00:00,2015-11-23T12:39:40.465+00:00
850,correia t flex bx 55,,,,2015-11-23T12:53:38.448+00:00,2015-11-23T12:53:38.448+00:00
851,cano cobre 1/2 flexivel,,,,2015-11-23T13:09:22.258+00:00,2015-11-23T13:09:22.258+00:00
852,cano cobre 5/8 flexivel,,,,2015-11-23T13:09:22.274+00:00,2015-11-23T13:09:22.274+00:00
853,cano cobre 1/4 flexivel,,,,2015-11-23T13:09:22.285+00:00,2015-11-23T13:09:22.285+00:00
854,cano cobre 3/8 flexivel,,,,2015-11-23T13:09:22.296+00:00,2015-11-23T13:09:22.296+00:00
855,acetileno ppu ,,,,2015-11-23T13:20:11.956+00:00,2015-11-23T13:20:11.956+00:00
856,mangueira oxi  acetileno,,,,2015-11-23T13:20:11.973+00:00,2015-11-23T13:20:11.973+00:00
857,regulador pressão acetileno,,,,2015-11-23T13:20:11.984+00:00,2015-11-23T13:20:11.984+00:00
858,regulador pressão oxigenio,,,,2015-11-23T13:20:11.994+00:00,2015-11-23T13:20:11.994+00:00
859,carrinho para oxigênio / acetileno,,,,2015-11-23T13:20:12.004+00:00,2015-11-23T13:20:12.004+00:00
860,correia a-112,,,,2015-11-23T13:28:20.974+00:00,2015-11-23T13:28:20.974+00:00
861,correia a39,,,,2015-11-23T13:28:20.999+00:00,2015-11-23T13:28:20.999+00:00
862,correia a43,,,,2015-11-23T13:28:21.021+00:00,2015-11-23T13:28:21.021+00:00
864,correia a47,,,,2015-11-23T13:37:04.443+00:00,2015-11-23T13:37:04.443+00:00
865,correia b210,,,,2015-11-23T13:37:04.453+00:00,2015-11-23T13:37:04.453+00:00
866,correia b37,,,,2015-11-23T13:37:04.464+00:00,2015-11-23T13:37:04.464+00:00
867,correia b39,,,,2015-11-23T13:37:04.473+00:00,2015-11-23T13:37:04.473+00:00
868,correia b40,,,,2015-11-23T13:37:04.480+00:00,2015-11-23T13:37:04.480+00:00
869,correia b58,,,,2015-11-23T13:37:04.491+00:00,2015-11-23T13:37:04.491+00:00
870,correia b60,,,,2015-11-23T13:37:04.497+00:00,2015-11-23T13:37:04.497+00:00
871,correia b55,,,,2015-11-23T13:37:04.503+00:00,2015-11-23T13:37:04.503+00:00
872,correia phg bx73,,,,2015-11-23T13:37:04.519+00:00,2015-11-23T13:37:04.519+00:00
873,mangueira trancada,,,,2015-11-23T13:39:20.189+00:00,2015-11-23T13:39:20.189+00:00
874,lona laranja ,,,,2015-11-23T13:44:24.645+00:00,2015-11-23T13:44:24.645+00:00
875,correia b54,,,,2015-11-23T13:47:33.672+00:00,2015-11-23T13:47:33.672+00:00
876,sensor temperatura,,,,2015-11-23T14:09:22.619+00:00,2015-11-23T14:09:22.619+00:00
877,tubulação de cobre flexível 3/4,,,,2015-11-23T16:48:24.089+00:00,2015-11-23T16:48:24.089+00:00
878,tubulação de cobre 7/8,,,,2015-11-23T16:50:10.004+00:00,2015-11-23T16:50:10.004+00:00
879," compressor scroll 7,5tr copeland mod. zr81kc-tf7-523 380v - conexÃo roscada",,,,2015-11-23T18:00:56.578+00:00,2015-11-23T18:00:56.578+00:00
880,"curva de cobre 7/8"" 45º",,,,2015-11-23T18:46:08.853+00:00,2015-11-23T18:46:08.853+00:00
881,"curva de cobre 5/8"" 45º",,,,2015-11-23T18:46:08.866+00:00,2015-11-23T18:46:08.866+00:00
882,"curva de cobre 5/8"" 90º",,,,2015-11-23T18:46:08.881+00:00,2015-11-23T18:46:08.881+00:00
883,"curva de cobre 7/8"" 90º ",,,,2015-11-23T18:46:08.902+00:00,2015-11-23T18:46:08.902+00:00
884,"tubo cobre rígido 7/8""",,,,2015-11-23T18:46:08.913+00:00,2015-11-23T18:46:08.913+00:00
885,"tubo cobre rígido 5/8""",,,,2015-11-23T18:46:08.923+00:00,2015-11-23T18:46:08.923+00:00
886,gas refrigerante r22 ,,,,2015-11-23T18:46:08.936+00:00,2015-11-23T18:46:08.936+00:00
887,gás 141b ,,,,2015-11-23T18:46:08.956+00:00,2015-11-23T18:46:08.956+00:00
888,produto detergente maxplus,,,,2015-11-24T16:55:09.882+00:00,2015-11-24T16:55:09.882+00:00
889,pano para limpeza branco,,,,2015-11-24T16:55:09.910+00:00,2015-11-24T16:55:09.910+00:00
890,luva de tecido pigmentada,,,,2015-11-24T16:55:09.931+00:00,2015-11-24T16:55:09.931+00:00
891,isolamento térmico 1/2,,,,2015-11-25T11:05:28.956+00:00,2015-11-25T11:05:28.956+00:00
892,isolamento térmico 1/4,,,,2015-11-25T11:05:47.744+00:00,2015-11-25T11:05:47.744+00:00
893,isolamento térmico 3/4,,,,2015-11-25T11:06:12.127+00:00,2015-11-25T11:06:12.127+00:00
894,isolamento térmico 3/8,,,,2015-11-25T11:06:30.039+00:00,2015-11-25T11:06:30.039+00:00
895,isolamento térmico 5/8,,,,2015-11-25T11:06:53.115+00:00,2015-11-25T11:06:53.115+00:00
896,isolamento térmico 7/8,,,,2015-11-25T11:07:17.918+00:00,2015-11-25T11:07:17.918+00:00
897,"mangueira emborrachada 1/2"" de 1m com conexoes macho.",,,,2015-11-25T11:18:49.528+00:00,2015-11-25T11:18:49.528+00:00
898,"bucha de reduÇao 3/4"" x 1/2"" galvanizada",,,,2015-11-25T11:18:49.541+00:00,2015-11-25T11:18:49.541+00:00
899,"luva de reduÇao 3/4"" x 1/2"" galvanizada",,,,2015-11-25T11:18:49.555+00:00,2015-11-25T11:18:49.555+00:00
900,"cabo cobre flex pvc 1kv 50,00 mm² ",,,,2015-11-25T19:32:25.849+00:00,2015-11-25T19:32:25.849+00:00
901,motor ventilador ,,,,2015-11-26T11:22:04.341+00:00,2015-11-26T11:22:04.341+00:00
902,mangueira 1/2,,,,2015-11-26T12:08:47.836+00:00,2015-11-26T12:08:47.836+00:00
903,femea giratoria 3/4,,,,2015-11-26T12:08:47.872+00:00,2015-11-26T12:08:47.872+00:00
904,macho eixo 1/2,,,,2015-11-26T12:08:47.890+00:00,2015-11-26T12:08:47.890+00:00
905,adap aco macho,,,,2015-11-26T12:08:47.917+00:00,2015-11-26T12:08:47.917+00:00
906,bota nº 39,,,,2015-11-26T12:17:34.301+00:00,2015-11-26T12:17:34.301+00:00
907,bota º 43,,,,2015-11-26T12:17:34.323+00:00,2015-11-26T12:17:34.323+00:00
908,bota nº 38,,,,2015-11-26T12:22:03.722+00:00,2015-11-26T12:22:03.722+00:00
909,bota nº 40,,,,2015-11-26T13:07:36.043+00:00,2015-11-26T13:07:36.043+00:00
910,bota nº 43,,,,2015-11-26T13:08:37.614+00:00,2015-11-26T13:08:37.614+00:00
911,espuma expansiva ,,,,2015-11-26T13:25:06.714+00:00,2015-11-26T13:25:06.714+00:00
912,correia transm b 050,,,,2015-11-26T13:25:06.728+00:00,2015-11-26T13:25:06.728+00:00
913,abertura furo polia,,,,2015-11-26T13:32:47.612+00:00,2015-11-26T13:32:47.612+00:00
914,abertura de furo em polia,,,,2015-11-26T13:34:34.284+00:00,2015-11-26T13:34:34.284+00:00
915,rebobinamento de motor ventilador,,,,2015-11-26T13:39:34.819+00:00,2015-11-26T13:39:34.819+00:00
916,rebobinamento de compressor t wister,,,,2015-11-26T13:39:34.832+00:00,2015-11-26T13:39:34.832+00:00
917,rebobinamento de motor weg 1/2,,,,2015-11-26T13:46:09.061+00:00,2015-11-26T13:46:09.061+00:00
918,conserto de motor lorenciclo 220v,,,,2015-11-26T13:54:30.374+00:00,2015-11-26T13:54:30.374+00:00
919,filtro secador(pedra) dcr0969s dryer,,,,2015-11-26T15:37:03.777+00:00,2015-11-26T15:37:03.777+00:00
920,nitrogenio m3,,,,2015-11-26T15:37:03.866+00:00,2015-11-26T15:37:03.866+00:00
921,unidade condensadora 9k fr 220-1-60,,,,2015-11-26T16:36:12.482+00:00,2015-11-26T16:36:12.482+00:00
922,unidade evaporadora hw 9k fr,,,,2015-11-26T16:36:12.490+00:00,2015-11-26T16:36:12.490+00:00
923,aparelho de ar condicionado inverter 22.000 btu,,,,2015-11-26T16:44:39.670+00:00,2015-11-26T16:44:39.670+00:00
924,compressor rotativo 12.000 btus,,,,2015-11-26T16:53:51.361+00:00,2015-11-26T16:53:51.361+00:00
925,graxa azul 1kg,,,,2015-11-26T17:23:47.755+00:00,2015-11-26T17:23:47.755+00:00
926,capa para mangueira,,,,2015-11-26T17:28:29.703+00:00,2015-11-26T17:28:29.703+00:00
927,rebobinamento de motor exaustor,,,,2015-11-26T17:36:50.424+00:00,2015-11-26T17:36:50.424+00:00
928,"bucha de reduÇao 3/4"" x 1/2""",,,,2015-11-27T13:10:38.240+00:00,2015-11-27T13:10:38.240+00:00
929,"luva de reduÇao 3/4"" x 1/2"" ",,,,2015-11-27T13:10:38.254+00:00,2015-11-27T13:10:38.254+00:00
930,rolamento ra012npp,,,,2015-12-01T12:10:31.228+00:00,2015-12-01T12:10:31.228+00:00
931,"polia 6"" canal ""a"", furo 3/4"" ",,,,2015-12-01T12:10:31.280+00:00,2015-12-01T12:10:31.280+00:00
932,fancolete built'in 30k  2 tubos standard,,,,2015-12-01T12:14:17.123+00:00,2015-12-01T12:14:17.123+00:00
933,fancolete built'in 55k  2 tubos standard,,,,2015-12-01T12:14:17.172+00:00,2015-12-01T12:14:17.172+00:00
934,terminais Á compressao dupla compressao para cabo 50mm2,,,,2015-12-01T12:51:12.434+00:00,2015-12-01T12:51:12.434+00:00
935,cesta de natal,,,,2015-12-01T17:24:54.209+00:00,2015-12-01T17:24:54.209+00:00
936,contactora 12a 1nf+1na 220v,,,,2015-12-01T17:57:51.392+00:00,2015-12-01T17:57:51.392+00:00
937,"valvula 3 vias controle propocional 1 1/4"" mod.b239ttarb24-sr",,,,2015-12-01T18:01:10.667+00:00,2015-12-01T18:01:10.667+00:00
938,rolamento dz 6308 skf,,,,2015-12-01T19:03:41.344+00:00,2015-12-01T19:03:41.344+00:00
939,rolamento dz 6309 skf,,,,2015-12-01T19:03:41.372+00:00,2015-12-01T19:03:41.372+00:00
940,tubo de cobre 5/8 rigido,,,,2015-12-01T19:23:49.585+00:00,2015-12-01T19:23:49.585+00:00
941,tubo de cobre 7/8 rigido,,,,2015-12-01T19:23:49.600+00:00,2015-12-01T19:23:49.600+00:00
942,turbina carrier codigo 42819018,,,,2015-12-02T18:20:48.678+00:00,2015-12-02T18:20:48.678+00:00
943,análise de oleo ,,,,2015-12-02T18:27:32.606+00:00,2015-12-02T18:27:32.606+00:00
944,analise de oleo,,,,2015-12-02T18:42:45.709+00:00,2015-12-02T18:42:45.709+00:00
945,analise de vibração,,,,2015-12-02T18:42:45.795+00:00,2015-12-02T18:42:45.795+00:00
946,termografia,,,,2015-12-02T18:42:45.845+00:00,2015-12-02T18:42:45.845+00:00
947,locação de container,,,,2015-12-03T11:32:33.193+00:00,2015-12-03T11:32:33.193+00:00
948,contator lc1e 220v,,,,2015-12-03T11:36:38.600+00:00,2015-12-03T11:36:38.600+00:00
949,fusivel nh 500v,,,,2015-12-03T11:36:38.623+00:00,2015-12-03T11:36:38.623+00:00
950,disjuntor n t-c50,,,,2015-12-03T11:40:25.062+00:00,2015-12-03T11:40:25.062+00:00
951,lamina de serra ,,,,2015-12-03T12:07:49.250+00:00,2015-12-03T12:07:49.250+00:00
952,cola armaflex,,,,2015-12-03T12:07:49.274+00:00,2015-12-03T12:07:49.274+00:00
953,fita armaflex,,,,2015-12-03T12:07:49.291+00:00,2015-12-03T12:07:49.291+00:00
954,controle remoto para split console cr-41014010,,,,2015-12-03T15:47:00.522+00:00,2015-12-03T15:47:00.522+00:00
955,placa eletronica -kit-k42ac5lc,,,,2015-12-03T15:47:00.538+00:00,2015-12-03T15:47:00.538+00:00
956,motor ventilador 2 eixo,,,,2015-12-03T15:47:00.551+00:00,2015-12-03T15:47:00.551+00:00
957,controle remoto console cr-41014010,,,,2015-12-03T15:47:00.569+00:00,2015-12-03T15:47:00.569+00:00
958,"esponjoso armaflex 3/4"" m-28",,,,2015-12-03T16:01:38.607+00:00,2015-12-03T16:01:38.607+00:00
959,barra de cano pvc 25mm,,,,2015-12-03T16:01:38.618+00:00,2015-12-03T16:01:38.618+00:00
960,"bucha de reduÇao 1"" x 3/4""",,,,2015-12-03T16:01:38.634+00:00,2015-12-03T16:01:38.634+00:00
961,rolo de fita adesiva armaflex,,,,2015-12-03T16:01:38.650+00:00,2015-12-03T16:01:38.650+00:00
962,"barra roscada 1/4"" x 3 m",,,,2015-12-03T16:01:38.662+00:00,2015-12-03T16:01:38.662+00:00
963,pilha ,,,,2015-12-03T18:02:36.754+00:00,2015-12-03T18:02:36.754+00:00
964,arrebite 3mm,,,,2015-12-03T19:27:24.902+00:00,2015-12-03T19:27:24.902+00:00
965,arrebite 4mm,,,,2015-12-03T19:27:53.526+00:00,2015-12-03T19:27:53.526+00:00
966,suporte para condensadora de 24000btus,,,,2015-12-03T19:28:21.582+00:00,2015-12-03T19:28:21.582+00:00
967,suporte para condensadora de 12000btus,,,,2015-12-03T19:28:44.282+00:00,2015-12-03T19:28:44.282+00:00
968,camisa polo cinza gg,,,,2015-12-04T13:04:49.777+00:00,2015-12-04T13:04:49.777+00:00
969,jogo de chave caximbo,,,,2015-12-04T15:41:14.604+00:00,2015-12-04T15:41:14.604+00:00
970,correa b-58,,,,2015-12-04T15:41:14.614+00:00,2015-12-04T15:41:14.614+00:00
971,broca para parede s-10,,,,2015-12-04T15:41:14.628+00:00,2015-12-04T15:41:14.628+00:00
972,pano de chao,,,,2015-12-04T15:41:14.650+00:00,2015-12-04T15:41:14.650+00:00
973,cinto de segurança - trabalho em altura - com ca vÁlido,,,,2015-12-04T18:02:42.422+00:00,2015-12-04T18:02:42.422+00:00
974,pasta plastica para papel a4,,,,2015-12-04T18:03:46.698+00:00,2015-12-04T18:03:46.698+00:00
975,"valvula de 2 vias 1 1/4"" ",,,,2015-12-04T18:04:24.078+00:00,2015-12-04T18:04:24.078+00:00
976,resma papel a-4,,,,2015-12-04T18:25:45.224+00:00,2015-12-04T18:25:45.224+00:00
977,clips nº 4,,,,2015-12-04T18:25:45.692+00:00,2015-12-04T18:25:45.692+00:00
978,clips nº 3,,,,2015-12-04T18:25:45.713+00:00,2015-12-04T18:25:45.713+00:00
979,clips nº 2,,,,2015-12-04T18:25:45.724+00:00,2015-12-04T18:25:45.724+00:00
980,rebite pop 3 x 12 mm (312),,,,2015-12-04T18:38:11.314+00:00,2015-12-04T18:38:11.314+00:00
981,"broca de aÇo rapido 5/32""",,,,2015-12-04T18:38:11.323+00:00,2015-12-04T18:38:11.323+00:00
982,"filtro secador st 350 x 1/2"" soldavel",,,,2015-12-07T11:30:48.721+00:00,2015-12-07T11:30:48.721+00:00
983,chumbador parabolt ¹/4 e 3/8,,,,2015-12-07T13:58:18.411+00:00,2015-12-07T13:58:18.411+00:00
984,tirante de ¹/4 e 3/8,,,,2015-12-07T13:58:18.417+00:00,2015-12-07T13:58:18.417+00:00
985,multímetro ,,,,2015-12-07T16:04:01.397+00:00,2015-12-07T16:04:01.397+00:00
986,placa eletrônica condensadora midea mse 24 cr,,,,2015-12-07T17:05:46.146+00:00,2015-12-07T17:05:46.146+00:00
987,pastilhas de 10 tr ,,,,2015-12-07T17:11:04.741+00:00,2015-12-07T17:11:04.741+00:00
988,"pastilhas de 2,5 tr",,,,2015-12-07T17:11:04.771+00:00,2015-12-07T17:11:04.771+00:00
989,r22,,,,2015-12-08T16:41:01.355+00:00,2015-12-08T16:41:01.355+00:00
